Артикул;Свободный остаток;Оптовая
57/6;18;510;
57/7;18;510;
57/8;20;510;
70/15;20;605;
70/16;18;605;
70/17;17;605;
70/18;19;605;
70/19;13;605;
70/20;18;605;
70/21;17;605;
70/22;20;605;
70/1;17;605;
70/10;19;605;
70/12;16;605;
70/13;19;605;
70/14;19;605;
70/2;20;605;
70/3;20;605;
70/6;20;605;
70/7;20;605;
70/8;19;605;
140/001-CL;1;1750;
200/001-CL;4;2200;
140/001-AQM;2;1292;
160/001-AQM;1;1452;
180/001-AQM;9;1669;
200/001-AQM;35;1962;
90/001-AQM;2;978;
172/001-DB;27;10162;
200/001-DB;9;11898;
140/001-DB;7;8385;
145/014-SD;62;5247;
175/012-SD;1;5991;
175/014-SD;71;5991;
200/011-SD;1;7009;
200/012-SD;47;7009;
200/014-SD;162;7009;
140/001-CT;1;2500;
172/001-CT;3;3300;
200/001-CT;4;3850;
175/001-EC;1;2949;
201/001-EC;3;3300;
145/001-ECn;103;2850;
175/001-ECn;42;3300;
201/001-ECn;64;3900;
172/001-LC;1;2788;
200/001-LM;1;3875;
145/001-LV;29;3538;
175/001-LV;55;3970;
200/001-LV;51;4384;
145/001-BO;1;3538;
175/001-BO;46;3970;
200/001-BO;37;4384;
145/001-SE;8;3538;
175/001-SE;29;3970;
200/001-SE;18;4384;
145/001-SW;59;1590;
175/001-SW;58;1820;
200/001-SW;63;2110;
145/001-TL;40;3538;
172/001-TN;25;3300;
175/001-TL;44;3970;
200/001-TL;48;4384;
140/001-EDS;67;2170;
172/001-EDS;30;2530;
200/001-EDS;130;3070;
140/001-ED;10;2500;
172/001-ED;11;3000;
200/001-ED;9;3850;
Pack-CLEO;3019;18;
